step,age,gender,category,amount,fraud
0,'2','M','es_transportation',61.83,0
0,'3','M','es_transportation',55.55,0
0,'4','M','es_transportation',73.36,0
0,'2','F','es_transportation',47.14,0
0,'2','M','es_transportation',14.55,0
0,'6','M','es_transportation',44.22,0
0,'3','F','es_transportation',38.2,0
0,'2','F','es_transportation',12.55,0
0,'3','F','es_transportation',0.1,0
0,'3','F','es_food',36.55,0
0,'3','F','es_transportation',15.04,0
0,'5','M','es_transportation',54.45,0
0,'5','M','es_transportation',66.57,0
0,'4','F','es_transportation',56.93,0
0,'4','F','es_transportation',3.5,0
0,'4','F','es_transportation',11.78,0
0,'3','M','es_wellnessandbeauty',52.38,0
0,'3','F','es_transportation',31.98,0
0,'3','M','es_transportation',27.98,0
0,'2','F','es_health',187.62,0
0,'3','M','es_transportation',19.23,0
0,'5','M','es_transportation',47.82,0
0,'5','M','es_transportation',28.6,0
0,'1','F','es_transportation',7.06,0
0,'4','M','es_food',49.59,0
0,'3','M','es_transportation',12.16,0
0,'1','F','es_transportation',20.96,0
0,'1','F','es_food',36.9,0
0,'2','M','es_transportation',11.06,0
0,'3','M','es_transportation',9.59,0
0,'4','M','es_transportation',41.33,0
0,'1','F','es_transportation',25.23,0
0,'3','M','es_hyper',2.09,0
0,'1','F','es_transportation',3.62,0
0,'2','F','es_transportation',24.29,0
0,'1','M','es_transportation',22.84,0
0,'3','F','es_food',40.69,0
0,'4','M','es_transportation',5.31,0
0,'4','M','es_transportation',41.67,0
0,'4','M','es_transportation',30.57,0
0,'1','M','es_transportation',8.71,0
0,'1','F','es_transportation',3.03,0
0,'1','F','es_transportation',13.72,0
0,'2','M','es_hyper',22.65,0
0,'1','F','es_transportation',19.73,0
0,'4','F','es_transportation',33.12,0
0,'2','M','es_transportation',6.09,0
0,'5','F','es_transportation',37.25,0
0,'2','M','es_transportation',19.97,0
0,'2','F','es_fashion',15.31,0
0,'4','F','es_transportation',19.19,0
0,'3','F','es_transportation',48.26,0
0,'3','F','es_fashion',79.71,0
0,'3','M','es_transportation',16.47,0
0,'3','F','es_transportation',54.54,0
0,'3','F','es_transportation',44.5,0
0,'2','M','es_transportation',35.39,0
0,'4','F','es_food',22.42,0
0,'3','F','es_transportation',67.88,0
0,'2','F','es_transportation',4.02,0
0,'3','F','es_transportation',11.95,0
0,'2','F','es_transportation',16.6,0
0,'2','F','es_transportation',61.9,0
0,'2','M','es_transportation',48.24,0
0,'2','F','es_transportation',41.98,0
0,'4','M','es_transportation',5.67,0
0,'2','F','es_transportation',17.37,0
0,'4','F','es_transportation',14.87,0
0,'2','M','es_food',46.88,0
0,'4','M','es_transportation',2.81,0
0,'3','M','es_transportation',18.25,0
0,'6','M','es_transportation',8.6,0
0,'3','F','es_transportation',20.37,0
0,'2','F','es_transportation',25.95,0
0,'3','F','es_transportation',62.76,0
0,'4','F','es_transportation',17.36,0
0,'2','M','es_transportation',71.65,0
0,'2','F','es_transportation',6.34,0
0,'4','M','es_wellnessandbeauty',86.09,0
0,'2','F','es_transportation',28.82,0
0,'4','M','es_transportation',19.55,0
0,'2','M','es_home',98.19,0
0,'5','M','es_transportation',10.41,0
0,'2','M','es_food',30.92,0
0,'4','F','es_transportation',22.68,0
0,'2','M','es_transportation',50.9,0
0,'3','M','es_transportation',49.54,0
0,'3','F','es_transportation',38.58,0
0,'3','F','es_transportation',1.95,0
0,'2','F','es_transportation',16.4,0
0,'2','M','es_transportation',4.19,0
0,'2','F','es_transportation',62.11,0
0,'2','F','es_transportation',15.84,0
0,'3','M','es_transportation',31.45,0
0,'1','M','es_transportation',26.7,0
0,'3','M','es_transportation',51.36,0
0,'3','F','es_transportation',21.61,0
0,'4','M','es_transportation',17.76,0
0,'3','M','es_barsandrestaurants',23.56,0
0,'2','F','es_transportation',15.87,0
0,'3','F','es_transportation',1.21,0
0,'4','M','es_transportation',46.29,0
0,'4','F','es_transportation',21.5,0
0,'1','M','es_transportation',31.51,0
0,'2','F','es_transportation',44.31,0
0,'4','M','es_transportation',38.26,0
0,'2','F','es_transportation',15.49,0
0,'3','M','es_hotelservices',71.76,0
0,'2','M','es_hotelservices',194.59,0
0,'4','F','es_transportation',44.57,0
0,'4','F','es_transportation',21.21,0
0,'3','M','es_transportation',24.87,0
0,'1','F','es_transportation',19.38,0
0,'2','F','es_transportation',55.7,0
0,'6','F','es_transportation',16.78,0
0,'4','M','es_transportation',31.9,0
0,'2','F','es_transportation',31.59,0
0,'2','M','es_transportation',8.66,0
0,'2','M','es_transportation',6.21,0
0,'2','M','es_transportation',57.17,0
0,'4','M','es_transportation',24.57,0
0,'4','M','es_transportation',4.2,0
0,'2','F','es_transportation',26.52,0
0,'5','M','es_transportation',31.93,0
0,'1','F','es_wellnessandbeauty',55.3,0
0,'5','M','es_transportation',31.14,0
0,'1','M','es_transportation',14.36,0
0,'3','F','es_transportation',26.93,0
0,'3','F','es_transportation',19.42,0
0,'2','F','es_transportation',36.62,0
0,'2','F','es_transportation',1.18,0
0,'4','F','es_transportation',11.41,0
0,'2','F','es_transportation',16.1,0
0,'2','F','es_transportation',35.61,0
0,'2','F','es_transportation',27.32,0
0,'4','M','es_transportation',3.3,0
0,'2','M','es_transportation',28.13,0
0,'6','M','es_hotelservices',49.0,0
0,'3','M','es_transportation',79.35,0
0,'2','F','es_wellnessandbeauty',122.26,0
0,'5','F','es_transportation',17.51,0
0,'5','M','es_transportation',15.72,0
0,'2','F','es_transportation',61.93,0
0,'2','M','es_transportation',18.81,0
0,'3','F','es_transportation',38.88,0
0,'5','M','es_transportation',33.02,0
0,'2','F','es_transportation',51.86,0
0,'1','F','es_wellnessandbeauty',45.19,0
0,'1','M','es_wellnessandbeauty',60.71,0
0,'3','F','es_transportation',38.78,0
0,'2','M','es_transportation',38.92,0
0,'4','M','es_transportation',11.73,0
0,'4','M','es_transportation',47.16,0
0,'3','F','es_transportation',40.66,0
0,'3','F','es_transportation',33.62,0
0,'4','F','es_transportation',6.58,0
0,'2','M','es_transportation',26.27,0
0,'3','M','es_transportation',44.36,0
0,'4','F','es_transportation',23.72,0
0,'1','M','es_transportation',59.78,0
0,'6','M','es_transportation',36.68,0
0,'2','F','es_transportation',29.92,0
0,'1','F','es_transportation',31.64,0
0,'3','F','es_transportation',20.33,0
0,'5','F','es_transportation',29.03,0
0,'3','M','es_transportation',2.66,0
0,'4','F','es_health',266.59,0
0,'3','M','es_transportation',20.5,0
0,'2','F','es_transportation',47.86,0
0,'6','M','es_wellnessandbeauty',37.43,0
0,'2','M','es_transportation',26.79,0
0,'2','F','es_sportsandtoys',88.2,0
0,'4','M','es_transportation',42.58,0
0,'5','F','es_transportation',18.48,0
0,'3','M','es_transportation',35.89,0
0,'6','F','es_transportation',46.19,0
0,'5','F','es_transportation',60.05,0
0,'3','F','es_transportation',29.1,0
0,'6','F','es_transportation',44.51,0
0,'3','F','es_transportation',12.53,0
0,'2','M','es_food',35.23,0
0,'4','F','es_transportation',3.92,0
0,'2','F','es_transportation',23.03,0
0,'2','F','es_transportation',28.91,0
0,'4','F','es_transportation',48.62,0
0,'4','M','es_transportation',24.31,0
0,'3','F','es_transportation',30.78,0
0,'3','F','es_transportation',14.35,0
0,'2','F','es_transportation',22.14,0
0,'3','M','es_transportation',28.63,0
0,'4','F','es_transportation',88.54,0
0,'6','M','es_transportation',18.53,0
0,'4','F','es_transportation',98.35,0
0,'3','M','es_transportation',16.1,0
0,'4','M','es_transportation',37.95,0
0,'1','M','es_transportation',25.28,0
0,'4','F','es_transportation',12.27,0
0,'4','F','es_transportation',55.1,0
0,'1','M','es_transportation',0.61,0
0,'2','F','es_transportation',4.39,0
0,'2','M','es_transportation',20.93,0
0,'2','F','es_barsandrestaurants',49.65,0
0,'5','M','es_hotelservices',71.0,0
0,'3','F','es_transportation',42.8,0
0,'5','F','es_transportation',5.35,0
0,'3','F','es_transportation',32.86,0
0,'3','M','es_transportation',46.0,0
0,'1','F','es_transportation',31.74,0
0,'5','F','es_transportation',25.88,0
0,'6','F','es_transportation',6.28,0
0,'5','F','es_hyper',61.75,0
0,'4','F','es_transportation',52.47,0
0,'2','M','es_transportation',16.91,0
0,'6','M','es_transportation',2.53,0
0,'2','F','es_transportation',50.36,0
0,'3','M','es_transportation',8.02,0
0,'4','F','es_transportation',19.46,0
0,'2','F','es_transportation',15.97,0
0,'2','F','es_transportation',32.55,0
0,'4','F','es_transportation',35.56,0
0,'3','F','es_transportation',9.17,0
0,'1','M','es_transportation',10.42,0
0,'3','M','es_hyper',49.3,0
0,'2','M','es_transportation',29.36,0
0,'5','M','es_transportation',36.9,0
0,'3','M','es_transportation',26.78,0
0,'5','F','es_transportation',23.05,0
0,'2','M','es_transportation',31.42,0
0,'3','M','es_transportation',16.17,0
0,'3','M','es_hyper',15.26,0
0,'1','F','es_transportation',13.96,0
0,'2','F','es_transportation',17.37,0
0,'5','M','es_transportation',2.04,0
0,'3','F','es_transportation',6.43,0
0,'3','F','es_transportation',12.85,0
0,'1','M','es_transportation',10.28,0
0,'3','F','es_transportation',23.67,0
0,'2','F','es_transportation',11.44,0
0,'6','M','es_transportation',11.76,0
0,'4','M','es_transportation',23.93,0
0,'2','F','es_transportation',2.1,0
0,'1','M','es_transportation',9.25,0
0,'3','F','es_transportation',21.04,0
0,'3','M','es_transportation',12.82,0
0,'6','M','es_food',19.05,0
0,'3','M','es_transportation',10.88,0
0,'3','F','es_transportation',25.22,0
0,'2','M','es_transportation',13.44,0
0,'3','F','es_transportation',42.69,0
0,'3','F','es_transportation',55.84,0
0,'2','M','es_transportation',41.79,0
0,'5','F','es_hyper',69.65,0
0,'2','M','es_transportation',0.3,0
0,'3','F','es_transportation',12.61,0
0,'2','M','es_transportation',6.18,0
0,'3','M','es_transportation',27.67,0
0,'3','F','es_transportation',44.8,0
0,'3','M','es_transportation',27.85,0
0,'3','F','es_transportation',34.31,0
0,'3','M','es_hotelservices',176.32,1
0,'3','M','es_hotelservices',337.41,1
0,'6','F','es_transportation',15.99,0
0,'2','M','es_transportation',19.39,0
0,'3','F','es_transportation',28.32,0
0,'5','F','es_transportation',11.03,0
0,'4','M','es_transportation',4.88,0
0,'4','F','es_transportation',29.93,0
0,'4','M','es_transportation',54.17,0
0,'4','F','es_transportation',18.54,0
0,'2','F','es_transportation',24.44,0
0,'3','M','es_transportation',25.85,0
0,'2','M','es_transportation',8.06,0
0,'2','M','es_transportation',6.35,0
0,'2','F','es_food',47.44,0
0,'4','M','es_transportation',38.32,0
0,'3','M','es_transportation',13.79,0
0,'1','M','es_transportation',1.51,0
0,'1','M','es_health',44.14,0
0,'5','M','es_transportation',37.67,0
0,'3','F','es_transportation',25.3,0
0,'2','F','es_transportation',57.26,0
0,'2','F','es_transportation',54.22,0
0,'3','M','es_transportation',16.42,0
0,'4','M','es_transportation',16.47,0
0,'3','M','es_wellnessandbeauty',40.31,0
0,'4','F','es_hyper',57.28,0
0,'2','M','es_transportation',6.01,0
0,'4','F','es_transportation',6.63,0
0,'2','F','es_transportation',44.27,0
0,'2','M','es_transportation',2.93,0
0,'3','M','es_food',6.92,0
0,'2','F','es_sportsandtoys',106.29,0
0,'U','E','es_transportation',21.25,0
0,'4','M','es_transportation',33.28,0
0,'2','M','es_hyper',19.21,0
0,'4','F','es_transportation',15.34,0
0,'5','M','es_transportation',27.81,0
0,'5','F','es_transportation',57.79,0
0,'4','M','es_transportation',11.34,0
0,'3','F','es_transportation',54.83,0
0,'3','M','es_food',44.77,0
0,'2','F','es_transportation',29.94,0
0,'2','F','es_food',1.6,0
0,'6','F','es_transportation',17.74,0
0,'2','F','es_transportation',50.91,0
0,'2','F','es_transportation',31.34,0
0,'3','M','es_transportation',13.09,0
0,'4','M','es_food',13.85,0
0,'2','F','es_transportation',7.11,0
0,'4','F','es_home',54.59,0
0,'2','F','es_transportation',10.09,0
0,'3','M','es_transportation',41.78,0
0,'2','M','es_transportation',22.11,0
0,'2','M','es_food',7.44,0
0,'1','F','es_transportation',13.16,0
0,'3','F','es_transportation',66.22,0
0,'3','F','es_transportation',27.57,0
0,'2','F','es_transportation',22.75,0
0,'2','F','es_transportation',2.55,0
0,'1','M','es_transportation',48.41,0
0,'3','M','es_hotelservices',90.3,0
0,'3','F','es_transportation',37.58,0
0,'4','M','es_transportation',5.18,0
0,'2','F','es_hyper',18.19,0
0,'3','F','es_transportation',2.74,0
0,'4','F','es_transportation',32.71,0
0,'2','M','es_transportation',37.73,0
0,'3','M','es_transportation',16.1,0
0,'1','F','es_transportation',30.86,0
0,'3','F','es_transportation',2.49,0
0,'5','F','es_transportation',46.01,0
0,'4','F','es_transportation',16.44,0
0,'2','F','es_transportation',10.99,0
0,'2','M','es_transportation',1.47,0
0,'4','M','es_transportation',14.89,0
0,'4','F','es_transportation',25.36,0
0,'2','M','es_transportation',47.45,0
0,'3','M','es_transportation',9.57,0
0,'3','F','es_transportation',43.42,0
0,'3','F','es_wellnessandbeauty',38.48,0
0,'3','M','es_transportation',5.18,0
0,'3','F','es_transportation',23.75,0
0,'3','M','es_barsandrestaurants',98.44,0
0,'3','F','es_transportation',39.67,0
0,'3','F','es_transportation',53.78,0
0,'4','M','es_home',87.51,0
0,'5','M','es_transportation',12.03,0
0,'2','M','es_transportation',23.14,0
0,'2','M','es_transportation',26.04,0
0,'3','F','es_transportation',30.35,0
0,'2','F','es_transportation',28.69,0
0,'5','M','es_transportation',14.13,0
0,'3','M','es_transportation',2.07,0
0,'4','F','es_transportation',26.77,0
0,'5','F','es_transportation',9.7,0
0,'3','F','es_transportation',34.28,0
0,'5','F','es_food',63.22,0
0,'4','M','es_transportation',26.95,0
0,'2','F','es_tech',247.76,0
0,'5','M','es_transportation',57.23,0
0,'3','F','es_transportation',37.29,0
0,'4','M','es_wellnessandbeauty',33.78,0
0,'5','F','es_transportation',40.93,0
0,'4','M','es_transportation',39.26,0
0,'4','F','es_transportation',17.19,0
0,'2','M','es_transportation',16.05,0
0,'4','M','es_transportation',39.06,0
0,'3','F','es_transportation',34.43,0
0,'2','F','es_transportation',39.74,0
0,'2','F','es_transportation',37.12,0
0,'2','F','es_transportation',49.05,0
0,'2','F','es_transportation',47.71,0
0,'5','F','es_transportation',43.65,0
0,'4','F','es_transportation',9.54,0
0,'3','F','es_transportation',55.17,0
0,'2','F','es_health',105.54,0
0,'4','F','es_transportation',1.74,0
0,'3','F','es_transportation',4.0,0
0,'4','F','es_wellnessandbeauty',220.11,1
0,'2','F','es_wellnessandbeauty',4.32,1
0,'5','F','es_transportation',12.43,0
0,'5','M','es_transportation',9.96,0
0,'3','F','es_transportation',25.62,0
0,'5','F','es_transportation',21.7,0
0,'3','F','es_barsandrestaurants',65.69,0
0,'1','F','es_transportation',60.42,0
0,'3','F','es_transportation',39.78,0
0,'1','F','es_transportation',29.18,0
0,'0','F','es_transportation',22.82,0
0,'2','M','es_transportation',3.17,0
0,'2','F','es_transportation',26.57,0
0,'3','M','es_transportation',17.37,0
0,'4','F','es_transportation',10.2,0
0,'3','F','es_transportation',37.29,0
0,'1','M','es_transportation',4.14,0
0,'4','M','es_transportation',23.07,0
0,'4','M','es_transportation',64.01,0
0,'3','M','es_transportation',22.81,0
0,'3','F','es_transportation',33.33,0
0,'3','F','es_transportation',14.7,0
0,'2','F','es_transportation',0.88,0
0,'6','F','es_transportation',8.59,0
0,'5','F','es_transportation',36.18,0
0,'4','F','es_fashion',6.21,0
0,'1','F','es_transportation',43.33,0
0,'2','F','es_transportation',12.92,0
0,'4','F','es_transportation',19.45,0
0,'5','F','es_transportation',20.56,0
0,'2','M','es_transportation',3.84,0
0,'1','F','es_sportsandtoys',1.22,0
0,'2','F','es_transportation',33.94,0
0,'1','U','es_transportation',28.57,0
0,'2','F','es_transportation',10.75,0
0,'4','M','es_transportation',0.34,0
0,'3','F','es_transportation',3.8,0
0,'2','M','es_transportation',31.02,0
0,'2','F','es_transportation',7.56,0
0,'2','M','es_transportation',20.49,0
0,'4','F','es_transportation',37.84,0
0,'6','M','es_transportation',15.35,0
0,'5','M','es_transportation',29.82,0
0,'2','F','es_transportation',65.41,0
0,'3','M','es_transportation',16.47,0
0,'4','M','es_transportation',69.95,0
0,'3','M','es_transportation',64.03,0
0,'4','F','es_transportation',54.21,0
0,'5','F','es_transportation',49.89,0
0,'4','F','es_transportation',16.66,0
0,'4','F','es_fashion',46.45,0
0,'2','F','es_sportsandtoys',278.02,1
0,'5','F','es_sportsandtoys',69.53,1
0,'2','M','es_transportation',2.11,0
0,'6','M','es_transportation',25.74,0
0,'3','M','es_transportation',9.17,0
0,'4','F','es_transportation',34.73,0
0,'2','F','es_transportation',5.37,0
0,'2','F','es_transportation',0.14,0
0,'4','F','es_transportation',15.8,0
0,'3','F','es_transportation',5.11,0
0,'2','M','es_transportation',42.9,0
0,'1','F','es_transportation',14.29,0
0,'3','M','es_transportation',25.15,0
0,'3','M','es_transportation',5.47,0
0,'3','F','es_transportation',6.83,0
0,'2','M','es_transportation',31.16,0
0,'1','F','es_transportation',13.04,0
0,'4','M','es_tech',35.85,0
0,'3','F','es_transportation',11.68,0
0,'5','F','es_barsandrestaurants',17.19,0
0,'5','F','es_transportation',15.79,0
0,'1','M','es_transportation',32.62,0
0,'4','M','es_transportation',11.99,0
0,'3','F','es_transportation',32.96,0
0,'2','M','es_transportation',21.39,0
0,'1','M','es_transportation',27.16,0
0,'5','F','es_transportation',30.33,0
0,'2','M','es_transportation',19.66,0
0,'3','F','es_transportation',7.45,0
0,'1','F','es_transportation',21.23,0
0,'4','F','es_transportation',13.21,0
0,'5','F','es_transportation',19.36,0
0,'2','F','es_transportation',39.11,0
0,'1','M','es_transportation',7.67,0
0,'2','F','es_transportation',6.17,0
0,'2','F','es_transportation',38.69,0
0,'3','M','es_transportation',58.61,0
0,'2','F','es_transportation',0.79,0
0,'1','F','es_transportation',28.97,0
0,'4','F','es_transportation',33.3,0
0,'2','M','es_transportation',0.18,0
0,'3','F','es_food',45.0,0
0,'3','M','es_transportation',73.77,0
0,'2','M','es_transportation',23.79,0
0,'2','F','es_transportation',44.47,0
0,'5','F','es_transportation',3.26,0
0,'2','F','es_transportation',33.18,0
0,'3','M','es_sportsandtoys',10.64,0
0,'3','F','es_health',248.42,0
0,'2','F','es_transportation',17.73,0
0,'3','F','es_transportation',20.18,0
0,'2','F','es_transportation',27.57,0
0,'3','F','es_transportation',4.46,0
0,'2','F','es_transportation',3.69,0
0,'2','F','es_transportation',54.02,0
0,'3','F','es_transportation',24.35,0
0,'1','F','es_transportation',5.28,0
0,'4','F','es_transportation',33.27,0
0,'3','M','es_transportation',63.23,0
0,'5','F','es_transportation',2.56,0
0,'2','F','es_transportation',44.88,0
0,'2','F','es_transportation',7.23,0
0,'3','F','es_transportation',32.63,0
0,'3','M','es_transportation',11.42,0
0,'3','M','es_food',51.96,0
0,'2','F','es_transportation',11.69,0
0,'2','F','es_health',237.48,0
0,'5','M','es_transportation',37.16,0
0,'5','M','es_transportation',1.96,0
0,'2','M','es_transportation',12.83,0
0,'2','F','es_transportation',38.2,0
0,'4','M','es_transportation',20.92,0
0,'1','M','es_transportation',37.59,0
0,'2','M','es_transportation',13.43,0
0,'3','F','es_transportation',38.89,0
0,'1','M','es_transportation',26.68,0
0,'3','F','es_transportation',18.4,0
0,'5','F','es_sportsandtoys',21.56,0
0,'5','M','es_barsandrestaurants',58.18,0
0,'2','M','es_food',31.59,0
0,'2','F','es_transportation',40.67,0
0,'3','M','es_sportsandtoys',11.88,0
0,'2','M','es_transportation',39.46,0
0,'2','F','es_transportation',73.59,0
0,'2','F','es_transportation',11.5,0
0,'5','F','es_transportation',2.03,0
0,'1','M','es_hotelservices',1.89,0
0,'3','M','es_transportation',30.88,0
0,'1','F','es_hyper',19.86,0
0,'1','M','es_transportation',30.07,0
0,'2','F','es_transportation',36.11,0
0,'2','M','es_transportation',25.73,0
0,'2','M','es_transportation',52.75,0
0,'4','F','es_transportation',30.15,0
0,'3','F','es_food',35.74,0
0,'3','M','es_transportation',12.14,0
0,'5','M','es_transportation',54.3,0
0,'1','F','es_transportation',46.22,0
0,'1','F','es_transportation',47.02,0
0,'3','M','es_transportation',25.86,0
0,'4','F','es_wellnessandbeauty',140.48,0
0,'2','F','es_transportation',19.18,0
0,'2','M','es_hyper',0.23,0
0,'2','F','es_transportation',18.47,0
0,'2','F','es_transportation',56.78,0
0,'3','M','es_transportation',23.73,0
0,'2','M','es_transportation',38.51,0
0,'5','F','es_hyper',54.33,0
0,'4','F','es_transportation',16.07,0
0,'4','M','es_transportation',23.59,0
0,'2','M','es_transportation',10.13,0
0,'4','F','es_transportation',39.28,0
0,'3','M','es_wellnessandbeauty',33.96,0
0,'3','M','es_transportation',36.52,0
0,'6','F','es_transportation',36.92,0
0,'4','F','es_transportation',2.99,0
0,'4','F','es_transportation',8.48,0
0,'1','M','es_transportation',28.44,0
0,'3','M','es_transportation',31.44,0
0,'1','M','es_transportation',0.78,0
0,'2','M','es_transportation',39.42,0
0,'2','F','es_barsandrestaurants',10.43,0
0,'3','M','es_hyper',61.08,0
0,'6','F','es_health',113.52,0
0,'5','F','es_barsandrestaurants',61.32,0
